rank,title,citations,downloads,article_type,top %
1,Evaluating Retrieval Quality in Retrieval-Augmented Generation,4,2926,short-paper,0.26
2,The Power of Noise: Redefining Retrieval for RAG Systems,4,2666,research-article,0.51
3,Data-efficient Fine-tuning for LLM-based Recommendation,5,1791,research-article,0.77
4,On Generative Agents in Recommendation,9,1378,research-article,1.03
5,A Field Guide to Automatic Evaluation of LLM-Generated Summaries,0,1265,short-paper,1.29
6,Large Language Models and Future of Information Retrieval: Opportunities and Challenges,0,1232,research-article,1.54
7,Large Language Models can Accurately Predict Searcher Preferences,7,1012,research-article,1.8
8,Large Language Models for Tabular Data: Progresses and Future Directions,0,944,tutorial,2.06
9,Preventing and Detecting Misinformation Generated by Large Language Models,0,856,tutorial,2.31
10,RAG-Ex: A Generic Framework for Explaining Retrieval Augmented Generation,0,802,short-paper,2.57
11,LDRE: LLM-based Divergent Reasoning and Ensemble for Zero-Shot Composed Image Retrieval,0,782,research-article,2.83
12,A Setwise Approach for Effective and Highly Efficient Zero-shot Ranking with Large Language Models,1,764,research-article,3.08
13,Enhancing Sequential Recommenders with Augmented Knowledge from Aligned Large Language Models,0,731,research-article,3.34
14,Scaling Laws For Dense Retrieval,0,729,research-article,3.6
15,Retrieval-Augmented Generation with Knowledge Graphs for Customer Service Question Answering,1,691,short-paper,3.86
16,Optimization Methods for Personalizing Large Language Models through Retrieval Augmentation,4,663,research-article,4.11
17,Doing Personal LAPS: LLM-Augmented Dialogue Construction for Personalized Multi-Session Conversational Search,1,640,research-article,4.37
17,Stochastic RAG: End-to-End Retrieval-Augmented Generation through Expected Utility Maximization,2,640,short-paper,4.37
19,GraphGPT: Graph Instruction Tuning for Large Language Models,6,638,research-article,4.88
20,LLaRA: Large Language-Recommendation Assistant,4,628,research-article,5.14
21,IM-RAG: Multi-Round Retrieval-Augmented Generation Through Learning Inner Monologues,0,622,research-article,5.4
22,IDGenRec: LLM-RecSys Alignment with Textual ID Learning,2,619,research-article,5.66
23,"OpenP5: An Open-Source Platform for Developing, Training, and Evaluating LLM-based Recommender Systems",0,603,research-article,5.91
24,Reinforcement Learning-based Recommender Systems with Large Language Models for State Reward and Action Modeling,0,557,research-article,6.17
